id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23077687,"Bright, spacious, and inviting home away from home",2616981,Lauren,Manhattan,Upper East Side,40.76354,-73.96189,Entire home/apt,135,4,3,2018-09-22,0.19,1,60
36280646,"Cable and wfi, L/G included.",272872092,Chris,Queens,Forest Hills,40.73657,-73.85088,Entire home/apt,16,9,1,2019-07-07,1.0,1,322
30458672,Newly renovated with elevator room 1,125961131,David,Manhattan,Two Bridges,40.71107,-73.99509,Private room,79,1,44,2019-06-28,6.38,3,3
36451362,Cozy Queen bed in Quiet Bedstuy!,154095549,Wa,Brooklyn,Bedford-Stuyvesant,40.69195,-73.94225,Private room,47,2,0,,,2,48
6850801,3 Bedroom Kid-Friendly Apartment,27287584,Chana,Brooklyn,Prospect-Lefferts Gardens,40.6613,-73.94457,Entire home/apt,250,4,0,,,1,0
20738759,Sun-Filled Cobble Hill Loft,2687071,Lily,Brooklyn,Brooklyn Heights,40.6904,-73.99376,Entire home/apt,135,3,21,2019-05-05,0.95,1,15
8634515,"★ Hidden Gem. Spacious. Restaurants, Cafés Galore.",24188973,Lei,Manhattan,Harlem,40.80449,-73.94743000000001,Entire home/apt,130,31,31,2019-05-27,0.69,1,66
35832561,Spacious room in beautiful Manhattan apartment!,20788222,Thirsa,Manhattan,Harlem,40.81216,-73.95036,Private room,150,1,1,2019-06-23,1.0,1,59
33431909,Beautiful cozy shared apartment by Central Park,251852817,Owen,Manhattan,East Harlem,40.79966,-73.94191,Shared room,55,1,13,2019-06-30,3.86,7,89
44161,Light+Open+Airy+Rustic+Modern Loft,193360,Young,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,2016-07-06,1.78,1,177
23548260,Spacious one bedroom apartment in Chelsea,52751563,Rory,Manhattan,Chelsea,40.74248,-73.99568000000001,Entire home/apt,96,1,32,2019-06-02,2.03,1,2
2804989,"Sunny, colorful, 1BD close to city ",2918667,Neisha,Queens,Sunnyside,40.74405,-73.91502,Entire home/apt,100,1,1,2014-05-27,0.02,1,0
20998265,Charming- cozy bedroom,90531953,Carolina,Bronx,Concourse,40.82453,-73.92563,Private room,60,1,16,2018-01-01,0.74,1,0
34894968,Cosy two-bedroom Prospect Park Apartment,263013451,Julia,Brooklyn,Flatbush,40.64522,-73.95815999999999,Entire home/apt,160,3,0,,,1,125
8845951,Cozy & Private Harlem Bedroom,4035773,T.,Manhattan,Harlem,40.80769,-73.95496999999999,Private room,70,1,76,2019-06-18,1.78,1,293
13725995,Full 1-Bedroom in a Picturesque Brownstone,3571172,Hugh,Manhattan,Harlem,40.81251,-73.94524,Entire home/apt,95,1,2,2016-07-25,0.06,1,0
35461885,Stylish Private BR in Fort Greene Cumberland,230192510,Zach,Brooklyn,Fort Greene,40.69768,-73.97564,Private room,48,30,0,,,25,337
7851219,- A - Cozy Secure Private Room  in a Shared Loft,31304940,John,Brooklyn,Williamsburg,40.71631,-73.96353,Private room,60,2,121,2019-06-18,2.55,8,69
14790550,Large and inviting 3BR apartment,21426910,Allen,Brooklyn,Gravesend,40.59544,-73.97086999999999,Entire home/apt,150,2,145,2019-07-01,4.24,2,35
35847458,"Spacious, cozy and bright bedroom in Sunset Park",39259484,Clarissa,Brooklyn,Sunset Park,40.64458,-74.02001,Private room,50,2,0,,,1,20
31382878,Private Studio apartment in the west village,226960918,Pamela,Manhattan,Chelsea,40.739340000000006,-74.00146,Entire home/apt,180,3,2,2019-06-21,2.0,1,173
2214831,LAVISH 2 BR APT by Central Park!!!,11297009,Lex,Manhattan,Upper West Side,40.78605,-73.97354,Entire home/apt,99,1,153,2019-05-26,2.39,4,327
9029289,Stylish Boutique Apt Close to Central Park,46473604,Paul,Manhattan,Upper West Side,40.77739,-73.98231,Entire home/apt,88,29,71,2019-06-02,1.62,1,95
18721845,Home home sweet home,49360262,Leah,Queens,Woodside,40.74204,-73.90639,Private room,55,2,3,2017-05-28,0.12,1,0
3838416,Beautiful Huge 2Br House w/Backyard,107340,Eric,Brooklyn,Prospect-Lefferts Gardens,40.65806,-73.95815,Entire home/apt,225,4,3,2014-10-19,0.05,1,0
35880602,Large Sunlit Private Queen Bed Room Crown Heights,78113383,Sara,Brooklyn,Crown Heights,40.67244,-73.92267,Private room,30,7,0,,,3,44
11844776,Vintage NYC apt - Monthly Rates!,3864301,Sen,Queens,Sunnyside,40.74356,-73.91685,Entire home/apt,95,30,3,2018-06-08,0.09,2,357
15060262,Amazing Brooklyn Townhouse Studio,34126778,Kwame,Brooklyn,Bedford-Stuyvesant,40.6898,-73.93746,Private room,99,7,0,,,1,72
28464829,Great cosy Studio. Just perfect.,24833181,Andres,Brooklyn,Bedford-Stuyvesant,40.69488,-73.94983,Entire home/apt,85,1,44,2019-07-05,4.51,2,208
9884175,LES Private Room + Private Bath,8936829,Ashley,Manhattan,Lower East Side,40.72282,-73.98908,Private room,150,20,0,,,1,0
23683924,Stunning designer loft in the heart of Downtown,6238348,Patrizio,Manhattan,Civic Center,40.71353,-73.99925,Entire home/apt,220,15,4,2019-05-01,0.25,1,9
1449263,Beautiful Brooklyn Brownstone Apt,7777902,Zachary,Brooklyn,Bedford-Stuyvesant,40.68665,-73.93293,Entire home/apt,168,2,1,2016-05-04,0.03,1,0
26884455,Beautiful Room with Laundry in Prime Williamsburg,141204841,Ivy And Andrew,Brooklyn,Williamsburg,40.70915,-73.96479000000001,Private room,95,30,35,2019-06-23,2.97,2,365
550288,Cozy Upper East Side 1 Bedroom,2684478,Brian,Manhattan,Upper East Side,40.78024,-73.94813,Entire home/apt,160,4,16,2019-02-12,0.2,1,0
23925502,Sunny Room in brand new apartment in Bushwick,4162797,Ana,Brooklyn,Bushwick,40.70139,-73.92567,Private room,45,10,2,2018-09-30,0.19,1,13
30157535,New York with a hint of European,226572566,Sophia,Manhattan,Upper East Side,40.77066,-73.94993000000001,Entire home/apt,140,5,24,2019-06-25,3.35,1,48
9753018,1200 SQFT Open Loft Williamsburg,1527888,Ilya,Brooklyn,Williamsburg,40.7109,-73.95236,Entire home/apt,250,31,8,2017-01-03,0.19,1,0
25127198,Travellers delight #3,104812805,Amarjit S,Staten Island,Arrochar,40.59644,-74.08279,Private room,32,4,10,2019-05-01,0.73,8,340
34812124,Sunny New York Apartment w/ 2 Spacious Bedrooms!,131103134,Daniel,Manhattan,Upper East Side,40.77388,-73.9568,Entire home/apt,217,3,2,2019-06-19,1.67,1,235
29212737,PrivateRoom2/LGA&JFK&Citi field&法拉盛/BustoManhattan,164719010,Babie,Queens,Whitestone,40.78029,-73.8184,Private room,49,1,50,2019-06-30,5.58,3,87
26058634,Highline,195831428,P,Manhattan,Chelsea,40.74441,-74.00385,Entire home/apt,350,7,4,2019-06-13,0.43,1,207
31795183,Bright Room in Bushwick,10512556,Julie,Brooklyn,Bushwick,40.70108,-73.92401,Private room,55,2,0,,,1,0
19960507,Huge Loft Space in Red Hook,1772509,Jane,Brooklyn,Red Hook,40.67798,-74.00787,Entire home/apt,145,1,11,2019-05-25,0.49,2,333
19805513,"Private, Sunny, lofted bedroom in Bushwick, BK",15615036,Ronnie,Brooklyn,Bushwick,40.69017,-73.916,Private room,44,1,7,2017-07-25,0.29,2,0
16260353,Cozy artsy bedroom near Cloisters,24967970,Ekaterina,Manhattan,Inwood,40.86269,-73.9222,Private room,80,3,6,2019-06-25,0.28,1,58
23764303,Charming Studio on Upper East Side,178224519,Lisa,Manhattan,Upper East Side,40.78315,-73.94768,Entire home/apt,100,30,0,,,8,320
34356642,Hamilton Heights is fancy!,259380331,Rene,Manhattan,Harlem,40.83052,-73.95014,Private room,100,3,8,2019-06-25,3.87,1,359
9349010,Smart & Chic Studio Prime Location,3716641,Ofer,Manhattan,Upper West Side,40.79273,-73.97216,Entire home/apt,104,30,5,2017-02-26,0.13,8,156
21205810,Elegant 1 bedroom suite in midtown Manhattan,120762452,Stanley,Manhattan,Murray Hill,40.74817,-73.97665,Entire home/apt,222,30,1,2019-02-17,0.21,50,364
610596,Chateau Gowanus,2992042,"Christopher, Samantha And Mason",Brooklyn,Gowanus,40.67376,-73.99648,Entire home/apt,198,2,103,2019-06-08,1.62,1,299
9898409,Small Cozy Studio - Brownstone,40709140,Lee,Brooklyn,Bedford-Stuyvesant,40.68496,-73.94758,Entire home/apt,160,1,0,,,1,0
34643695,1B. Studio & Stay 30 minutes to Midtown Manhattan,37678939,Chantal,Bronx,Claremont Village,40.83513,-73.91093000000001,Private room,50,2,11,2019-07-07,6.73,2,88
19190579,"Charming, Sleek UES Studio",9649691,Deaton,Manhattan,Upper East Side,40.76715,-73.95857,Entire home/apt,118,3,29,2019-07-06,1.15,1,0
21882745,"Large, sunny & modern Union Square 1-bedroom",22225590,Tina,Manhattan,East Village,40.73245,-73.98848000000001,Entire home/apt,210,4,4,2019-04-26,0.39,1,0
27427898,Private 2 Bd Guest House. Great for Quiet Getaway,34313176,Eddie,Queens,Rego Park,40.71662,-73.85970999999999,Entire home/apt,140,2,11,2019-06-26,1.17,4,335
36042727,Lovely Private Corner Room in Bushwick,249235228,Bora,Brooklyn,Bedford-Stuyvesant,40.68996,-73.92669000000001,Private room,55,3,0,,,1,84
4902025,BIG ROOM IN BROOKLYN!! ,5564276,Monica,Brooklyn,Bedford-Stuyvesant,40.68998,-73.95645999999999,Private room,75,1,0,,,1,0
4201905,Sunny 1 Bedroom -Financial District,4738242,Meghna,Manhattan,Financial District,40.70956,-74.01341,Entire home/apt,160,7,3,2015-01-03,0.05,1,0
16518377,East Village 1BR Apt with all the amenities,3012457,Cody,Manhattan,East Village,40.7235,-73.97963,Entire home/apt,200,2,3,2018-07-10,0.16,1,0
30069021,Midtown West - Cozy Double Double Room,224414117,Gabriel,Manhattan,Hell's Kitchen,40.75753,-73.99701,Private room,199,1,25,2019-06-23,3.21,30,324
36388492,"✨Premier King Room , City View✨",273392981,Giorgio Residence,Queens,Long Island City,40.755590000000005,-73.94106,Private room,101,1,0,,,3,361
535095,Beautiful bedroom in Prospect Heights,598770,Maite & Javi,Brooklyn,Prospect Heights,40.6744,-73.96558,Private room,90,7,43,2019-06-29,0.52,1,38
13762234,Lovely 1BR on the Upper East Side,9251010,Marina,Manhattan,Upper East Side,40.7732,-73.95173,Entire home/apt,175,2,8,2016-12-12,0.23,1,0
17480159,"Cozy studio, private entrance & 3 min. JFK",105315839,Erroyl,Queens,Jamaica,40.66989,-73.77454,Entire home/apt,75,1,75,2019-06-23,2.66,1,294
31127529,Cozy Room 3 in Brooklyn,231150375,Olabimpe,Brooklyn,Bedford-Stuyvesant,40.68931,-73.93131,Private room,65,3,9,2019-06-03,1.79,4,126
6072842,Convenient and cozy space!,31522185,Dimitri,Queens,Astoria,40.766020000000005,-73.91741999999999,Shared room,75,5,4,2016-08-28,0.08,1,0
4734170,Modern 1 BD near Prospect Park,17893360,Charles,Brooklyn,Crown Heights,40.67238,-73.95768000000001,Entire home/apt,109,1,18,2017-04-14,0.38,1,0
12212943,Upper East Side Brand New Apt,65690091,Mohine,Manhattan,Upper East Side,40.78173,-73.94621,Private room,185,1,0,,,1,0
3765357,Feel at home in Manhattan at charming NY apartment,5160726,Tony,Manhattan,Kips Bay,40.73967,-73.98040999999999,Entire home/apt,200,13,3,2016-05-15,0.05,1,166
4165278,HUGE Room in an AMAZING Location!,4403262,Adam,Manhattan,Lower East Side,40.71906,-73.98433,Private room,79,9,5,2016-08-15,0.09,1,0
20568215,NYC tourism and food just steps away!,93376283,Gabriella,Manhattan,Hell's Kitchen,40.76638,-73.99079,Entire home/apt,168,2,4,2017-11-25,0.2,1,0
9424217,"Monthly+. Quiet, Upscale Neighborhood",12122228,Joseph,Manhattan,Upper East Side,40.77557,-73.94615,Private room,62,30,0,,,1,174
9842363,Luxury apartment across One World,50680790,Felipe,Manhattan,Financial District,40.7088,-74.01455,Entire home/apt,275,2,0,,,1,0
23072308,Charming WaHi apartment!,92192182,Alyssa,Manhattan,Washington Heights,40.84861,-73.93715999999999,Entire home/apt,72,2,11,2018-07-08,0.64,2,0
6990524,3BR Gramercy Apt in heart of NYC,36650631,Alissa,Manhattan,Kips Bay,40.73912,-73.9825,Entire home/apt,300,1,0,,,1,0
21931557,Bed-Stuy modern one bedroom plus private bathroom,159811367,Sergii,Brooklyn,Bedford-Stuyvesant,40.69687,-73.94111,Private room,50,30,4,2019-03-10,0.2,10,365
35040098,Trendy One Bedroom Apartment in UES,62560525,Saud,Manhattan,East Harlem,40.78766,-73.9423,Entire home/apt,134,3,2,2019-06-20,2.0,1,26
30348624,Better Home Inn,227872371,Better Home,Queens,Springfield Gardens,40.66272,-73.76849,Entire home/apt,89,1,88,2019-07-06,12.05,2,253
33684693,Cozy industrial loft in the heart of Williamsburg,253898121,Denis,Brooklyn,Williamsburg,40.72178,-73.95653,Entire home/apt,200,5,1,2019-05-19,0.59,1,13
25232008,Central Park South Better than a 5-Star Hotel,47100454,Val,Manhattan,Midtown,40.76457,-73.97518000000001,Entire home/apt,166,30,0,,,1,0
19382201,Your Quiet Refuge in the Heart of Manhattan,9405109,Carolina,Manhattan,Civic Center,40.71195,-74.00757,Entire home/apt,200,3,3,2019-04-15,0.13,1,19
30015813,Newly renovated house with a rooftop near Downtown,225618164,Sergii,Brooklyn,Gowanus,40.68198,-73.98962,Private room,77,30,0,,,3,365
31225404,Private Room/Descent Host/close to Subway for Manh,107930075,Ameet,Queens,Ozone Park,40.68436,-73.84213000000001,Private room,50,1,1,2019-05-19,0.58,2,89
33266016,Spacious room and private bath in Williamsburg,18883243,Mika,Brooklyn,Williamsburg,40.71937,-73.9549,Private room,75,14,1,2019-05-25,0.67,1,0
1808550,Invitation to travelers,7557833,Christine,Brooklyn,Bedford-Stuyvesant,40.69096,-73.94613000000001,Private room,75,7,30,2019-02-16,0.43,5,216
28286163,Sun-drenched 3BD apt in Harlem,15439251,Willy,Manhattan,Harlem,40.82302,-73.94259,Entire home/apt,220,3,12,2019-07-03,1.29,4,230
29157984,Double Bedroom in Modern Manhattan Apartment,219717193,Jessie,Manhattan,Gramercy,40.73288,-73.98250999999999,Private room,59,5,18,2019-06-21,2.01,2,5
28548195,"Modern, clean, NEW apt 1 block from train!",179413160,Maria Fernanda,Brooklyn,Cypress Hills,40.67974,-73.88374,Private room,45,1,8,2019-07-05,0.85,1,57
10770836,Upper West Side Studio,55709707,Ethan,Manhattan,Upper West Side,40.79176,-73.97329,Entire home/apt,82,1,0,,,1,0
14505483,Beautiful King Bedroom in the heart of Ditmas Park,14942902,Bibi,Brooklyn,Flatbush,40.63135,-73.9651,Private room,150,5,0,,,1,358
8224368,Bushwick Brooklyn Morgantown Oasis,4591602,Alec & Laura,Brooklyn,Bushwick,40.7043,-73.92719,Private room,120,2,78,2019-06-03,1.79,1,206
19603759,1 Room highrise over Central Park-private balcony,137821526,Cathy,Manhattan,East Harlem,40.79572,-73.9481,Private room,165,1,3,2018-06-17,0.13,2,0
9121896,1 RED BEDROOM IN 3 BEDROOMS APT,7858210,Maxime,Manhattan,Harlem,40.81614,-73.94116,Private room,50,2,66,2019-05-29,1.51,4,180
22349506,Shared room in nice surroundings in Ridgewood!!,134293540,Valentin,Queens,Ridgewood,40.70615,-73.90366999999999,Shared room,27,31,5,2018-07-06,0.27,4,6
94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",473113,Keishera,Brooklyn,Crown Heights,40.67174,-73.95663,Entire home/apt,120,5,104,2019-06-21,1.04,1,272
29628,Sunny Room in New Condo,127608,Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,2019-07-03,2.35,1,278
34422726,Home away from home,234422924,Arlene,Bronx,City Island,40.8439,-73.78792,Private room,29,1,2,2019-06-16,1.43,1,18
22230375,318 58 st brooklyn ny 11220,160867897,Mercedes,Brooklyn,Sunset Park,40.64351,-74.01848000000001,Private room,100,2,1,2018-03-17,0.06,1,365
7967503,Perfect midtown west studio,2781031,Paolo,Manhattan,Hell's Kitchen,40.76885,-73.98631,Entire home/apt,165,3,68,2019-06-19,1.46,1,195
12521735,Cozy Apartment in Queens — 20 Min to Manhattan,34790915,Katie,Queens,Ridgewood,40.7003,-73.89983000000001,Private room,70,2,0,,,1,0
193853,Quiet Chelsea Studio w/Charm,48599,Anastasia,Manhattan,Chelsea,40.74033,-74.00024,Entire home/apt,149,6,23,2018-05-21,0.27,2,0
24524252,Private Modern Studio in heart of Flatbush,296491,Ely,Brooklyn,Midwood,40.61673,-73.96491,Entire home/apt,75,2,23,2019-05-27,1.55,2,49
25737165,Lux Studio Suite+ Kitchen+Gym+Rooftop @FiDi!,73456844,Lilian,Manhattan,Financial District,40.706590000000006,-74.01002,Entire home/apt,179,3,8,2019-07-06,0.64,1,102
9236348,Spacious two bedroom with backyard,48007438,Daniel,Brooklyn,Bushwick,40.70198,-73.91571,Entire home/apt,95,1,0,,,1,0
34447510,Prime apt in the heart of the LES,16212805,Helee,Manhattan,Lower East Side,40.71967,-73.9853,Entire home/apt,130,5,0,,,1,0
17481484,Brooklyn Apartment,118430352,Austin,Brooklyn,Crown Heights,40.67519,-73.9402,Private room,75,1,0,,,1,0
